id,question,answer,wrong1,wrong2,wrong3,source,difficulty
542,"In Greek mythology, what was the monstrous three-headed watchdog guarding the entrance to Hades?",Cerberus,Charybdis,Hydra,Scylla,au,5
543,Films made by which Hollywood studio are introduced by its logo of a spinning globe?,Universal,Paramount,Columbia,MGM,au,5
544,Which of these is not a Marvel Comics character?,Superman,Captain America,Spider-Man,Daredevil,au,5
545,Which country played host to the 2004 Olympic Games?,Greece,Australia,Mexico,Zambia,au,6
546,Which animal is a nag?,Horse,Dog,Kangaroo,Bear,au,6
547,Which of these states has the largest population?,Victoria,Tasmania,Western Australia,South Australia,au,6
548,Who was the male star of the film 'Pretty Woman'?,Richard Gere,Kevin Costner,Tom Cruise,Mel Gibson,au,6
549,Based on the Puccini opera 'Madama Butterfly' is the hit musical Miss what'?,Saigon,Bombay,Bangkok,Sydney,au,6
550,In which Australian state or territory is Uluru?,Northern Territory,South Australia,Victoria,Western Australia,au,6
551,Which of these was a British king?,George VI,Stephen II,Richard IV,Edward IX,au,6
552,"In the nursery rhyme, 'under the haystack, fast asleep' is Little who?",Boy Blue,Bo Peep,Miss Muffet,Jack Horner,au,6
553,Written by Cole Porter was the song 'what the Beguine'?,Begin,Beget,Begone,Beggar,au,6
554,The great US comedian Bob Hope died in 2003 shortly after reaching what age?,100,90,95,103,au,6
555,Australia entered the Vietnam War in which decade?,1960s,1950s,1970s,1980s,au,6
556,Which singer recorded the 2003 album 'In the Zone'?,Britney Spears,Christina Aguilera,Pink,Avril Lavigne,au,6
557,Which of these is a native of Manchester?,Mancunian,Manichaean,Maniac,Manicurist,au,6
558,Which is a fielding position in cricket?,Fine leg,Coarse arm,Rough hand,Tender foot,au,6
559,Which bird is also a batsman's score of 0 in a cricket innings?,Duck,Goose,Pelican,Swan,au,6
560,"From the nursery rhyme 'Pop Goes the Weasel': 'Up and down the City road, In and out the what'?",Eagle,Angel,Beagle,Regal,au,6
561,Rob Pilatus and Fab Morvan performed together under what name?,Milli Vanilli,Black Box,Tears for Fears,Technotronics,au,6
562,What is the name of the family's spaceship on TV's 'Lost in Space'?,Jupiter II,Mercury II,Venus II,Mars II,au,6
563,Which of these is a kind of drum?,Conga,Conger,Congou,Congo,au,6
564,What was the name of Britain's volunteer defence force during World War II?,Home Guard,Iron Guard,Civil Guard,Old Guard,au,6
565,Slightly raised is the reddish birthmark called a 'what mark'?,Strawberry,Raspberry,Blackberry,Mulberry,au,6
566,Having a string of hits in the 1970s was the US disco group KC and the what Band?,Sunshine,Sunbeam,Sunrise,Sunlight,au,6
567,Which card game is also a type of bridge?,Pontoon,Rummy,Poker,Snap,au,6
568,What is normally served in a demitasse?,Coffee,Wine,Water,Tea,au,6
569,Bahasa Indonesia is the Indonesian what?,Language,Religion,Army,Currency,au,6
570,A controversial steel-and-glass pyramid was a 1980s addition to which Paris landmark?,Louvre Museum,Arc de Triomphe,Eiffel Tower,Notre Dame,au,6
571,A 1970s novel by Russian author Aleksandr Solzhenitsyn is 'The Gulag what'?,Archipelago,Archbishop,Archeologist,Archetype,au,6
572,Peter Gabriel was a lead vocalist for which group?,Genesis,Roxy Music,Queen,King Crimson,au,6
573,Heath Ledger does not appear in which of these films?,The Time Machine,Monster's Ball,The Patriot,A Knight's Tale,au,6
574,Land's End is the south-western point of which country of the UK?,England,Scotland,Northern Ireland,Wales,au,6
575,A Hollywood comic duo were Bud Abbott and who Costello?,Lou,Len,Lee,Les,au,6
576,The Tiber is a river that flows through which European capital?,Rome,Athens,Berlin,Madrid,au,6
577,In which US state is the Grand Canyon?,Arizona,Alaska,Michigan,Oregon,au,6
578,How did US singer John Denver die in 1997?,Plane crash,Drug overdose,Heart attack,House fire,au,6
579,"In the Bible, who was the condemned robber released instead of Jesus?",Barabbas,Bartimaeus,Barnabas,Bathsheba,au,6
580,Jacob and Wilhelm were the first names of which famous brothers?,Grimm,Everly,Warner,Wright,au,6
581,American statesman and inventor Benjamin Franklin lived during most of which century?,18th,16th,17th,19th,au,6
582,"In old British currency, a farthing was worth what fraction of a penny?",Quarter,Half,Tenth,Third,au,6
583,"Who was the only survivor of the fatal car accident involving Diana, Princess of Wales?",Her bodyguard,Her driver,Her lover,Herself,au,6
584,A dado can typically be part of which structure of a room?,Wall,Ceiling,Door,Window,au,6
585,Who is Liam Gallagher's brother in the UK rock band Oasis?,Noel,Neil,Nigel,Neville,au,6
586,Which of these films won the Best Picture Oscar?,Gladiator,Fargo,Shine,Traffic,au,6
587,Which is an informal term for a left-handed boxer?,Southpaw,Eastpaw,Northpaw,Westpaw,au,6
588,Which of these terms applies to a politician who favours aggressive military policies?,Hawk,Eagle,Vulture,Buzzard,au,6
589,The sun enters the zodiac sign of Taurus in which month?,April,January,February,March,au,6
590,Heartworm is a parasite that lives in the heart and arteries of which animals?,Dogs,Camels,Horses,Sheep,au,6
591,An angle plus its complement equals how many degrees?,90,180,270,360,au,6
592,Chateaubriand is made from a cut of which meat?,Beef,Lamb,Chicken,Pork,au,6
593,Aiding the economic recovery of Europe after World War II was the US-sponsored Marshall what?,Plan,Project,Program,Scheme,au,6
594,Which book of the Old Testament includes the line: 'The Lord is my shepherd'?,Psalms,Numbers,Judges,Proverbs,au,6
595,The Cornish Rex is a breed of which animal?,Cat,Horse,Dog,Sheep,au,6
596,"An overseas department of France, the island of Réunion is in which ocean?",Indian,Pacific,Southern,Atlantic,au,6
597,"Used for teaching music, especially the violin, to the young is the what method?",Suzuki,Kawasaki,Yamaha,Honda,au,6
598,In which disease do the membranes surrounding the brain or spinal cord become inflamed?,Meningitis,Malaria,Mastoiditis,Mesothelioma,au,6
599,Fitzwilliam Darcy is the romantic hero in a novel by which author?,Jane Austen,Mark Twain,Victor Hugo,Charles Dickens,au,6
600,What kind of creature is the newt?,Amphibian,Fish,Insect,Reptile,au,6
601,Which member of the weasel family is also the colour black in heraldry?,Sable,Badger,Ermine,Otter,au,6
602,What is the factorial of 4?,24,20,22,26,au,6
603,Allied forces invaded Normandy in World War II on June 6 of which year?,1944,1942,1943,1945,au,6
604,A megaton is a unit of explosive power equal to a million tons of which explosive?,TNT,Gunpowder,Nitroglycerine,Gelignite,au,6
605,Cubism was an art movement founded in which century?,20th,17th,18th,19th,au,6
606,"Who stars as TV's Xena, Warrior Princess?",Lucy Lawless,Laura Linney,Lucy Liu,Lisa Leslie,au,6
607,Ganesh is a popular deity in which religion?,Hindu,Egyptian,Greek,Norse,au,6
608,Which adjective best describes someone who feels great guilt?,Contrite,Congruent,Consolable,Contemplative,au,6
609,Which of these European countries is a republic?,Portugal,Denmark,Norway,Spain,au,6
610,Which of these creatures is not a decapod?,Octopus,Crab,Prawn,Squid,au,6
611,The Pilgrim Fathers sailed on which ship from Plymouth to establish the first colony in New England?,Mayflower,Wallflower,Sunflower,Cauliflower,au,6
612,What is the symbol for the chemical element iron?,Fe,Fo,Ir,In,au,6
613,What is the floral emblem of England?,Rose,Lily,Carnation,Daisy,au,6
614,What are the first ten amendments to the US Constitution called?,Bill of Rights,Ten Commandments,Rights of Man,Ten Freedoms,au,6
615,On what part of her body would a woman wear a pump?,Foot,Hand,Head,Waist,au,6
616,"Which of these is a word with the same sound as, but a different meaning to, another?",Homophone,Homodont,Homologue,Homodyne,au,6
617,"In Greek mythology, Helios was the god of the what?",Sun,Night,Dawn,Moon,au,6
618,Which of these elements is represented in the cutlery abbreviation EPNS?,Silver,Silicon,Sodium,Sulphur,au,6
619,Whose disease is a brain disorder causing dementia?,Alzheimer's,Bright's,Hansen's,Parkinson's,au,6
620,Which is not part of Latin America?,Sierra Leone,Costa Rica,Dominican Republic,Honduras,au,6
621,For what is somnambulism the technical term?,Sleepwalking,Sleeping,Snoring,Dreaming,au,6
622,K is the symbol for which chemical element?,Potassium,Cadmium,Iodine,Krypton,au,6
623,In which field of study were Marie Curie and her husband Pierre pioneers?,Radioactivity,Genetics,Palaeontology,Seismology,au,6
624,Inuit is a preferred name for which indigenous people?,Eskimos,American Indians,Lapps,Pygmies,au,6
625,Dichlorodiphenyltrichloroethane is better known by what abbreviation?,DDT,PVC,RNA,DNA,au,6
626,The closing line of which Hollywood classic is: 'There's no place like home'?,The Wizard of Oz,Gone with the Wind,Casablanca,Citizen Kane,au,6
627,Which US Nobel Prize-winning writer committed suicide with a shotgun?,Ernest Hemingway,Sinclair Lewis,Eugene O'Neill,William Faulkner,au,6
628,Which country does not border Italy?,Belgium,Austria,France,Switzerland,au,6
629,Which of the following girls' names represents a letter in the International Radio Alphabet?,Juliet,Kate,Linda,Mary,au,6
630,Which of these is a Greek name for the hero of classical legend Hercules?,Heracles,Heraclea,Heraclius,Heraclitus,au,6
631,Who was the British monarch at the turn of the millennium?,Elizabeth II,Elizabeth I,Elizabeth III,Elizabeth IV,au,7
632,Who is the only sister of Britain's Prince Charles?,Anne,Annika,Annette,Annabelle,au,7
633,What kind of warship is the USS 'Enterprise'?,Aircraft carrier,Battleship,Cruiser,Submarine,au,7
634,Which of these is a 1981 Australian film co-starring Mel Gibson?,Gallipoli,Kokoda,Tobruk,Bullecourt,au,7
635,Which Australian actress plays the role of Briseis in the 2004 film Troy'?,Rose Byrne,Cate Blanchett,Miranda Otto,Naomi Watts,au,7
636,Robert Duvall starred in the 1989 western mini-series 'Lonesome what'?,Dove,Dust,Duck,Dutch,au,7
637,What is the only Australian state capital situated on a river of the same name?,Brisbane,Perth,Adelaide,Hobart,au,7
638,The Menindee Lakes system is on which Australian river?,Darling,Fitzroy,Condamine,Murray,au,7
639,The Sydney Harbour Bridge is what type of bridge?,Arch,Girder,Suspension,Cantilever,au,7
640,In what Brazilian dance do couples dance with their stomachs touching each other?,Lambada,Cha-cha,Rumba,Tango,au,7
641,Based on the average price of selected securities on the Hong Kong stock exchange is which index?,Hang Seng,Dax,Dow Jones,Nikkei,au,7
642,"Sir Edmund Hillary was the first to conquer Mt Everest, in which decade?",1950s,1920s,1930s,1940s,au,7
643,Based on the novel by John Birmingham was the film 'He Died With a what in His Hand'?,Felafel,Kebab,Souvlaki,Pizza,au,7
644,Which of these was a term for an early form of bicycle?,Boneshaker,Bonewobbler,Bonetrembler,Bonerocker,au,7
645,Which of these is not a number?,Modillion,Nonillion,Quintillion,Milliard,au,7
646,A hogget is a young what?,Sheep,Cow,Goat,Dog,au,7
647,Which of these is a kind of nail?,Brad,Troy,Dean,Kurt,au,7
648,In 1980 American entrepreneur Ted Turner launched which TV network?,CNN,ABC,CBS,NBC,au,7
649,Inkatha is a political organisation in which country?,South Africa,Ghana,Nigeria,Zimbabwe,au,7
650,What civilisation of present-day Mexico was conquered by the Spanish in the 1520s?,Aztec,Maya,Toltec,Zapotec,au,7
651,What nationality is singer Alanis Morissette?,Canadian,American,British,South African,au,7
652,Triton is the largest moon of which planet?,Neptune,Mars,Venus,Pluto,au,7
653,Something with both good and bad qualities is said to be a curate's what?,Egg,Leg,Rug,Dog,au,7
654,Which London street is home to fictional detective Sherlock Holmes?,Baker,Wigmore,Harley,Montague,au,7
655,"A bestseller by Michael Moore is 'Dude, Where's My what?'?",Country,Democracy,President,Rifle,au,7
656,The next Olympics after 1936 were held in which year?,1948,1944,1946,1950,au,7
657,Based on the novel by Louis de Bernières was the 2001 film 'Captain Corelli's what'?,Mandolin,Mandrill,Mandala,Mandible,au,7
658,"Each red and outlined in white, there are how many stars on the New Zealand flag?",Four,Three,Five,Six,au,7
659,Which of North America's Great Lakes is the largest?,Superior,Huron,Ontario,Michigan,au,7
660,"Born in 1758, American Noah Webster won fame for his what?",Dictionary,Firearms,Speeches,Exploring,au,7
661,Much of the area of which country corresponds with that of ancient Mesopotamia?,Iraq,Saudi Arabia,Egypt,Iran,au,7
662,Russian-born American Igor Sikorsky is best known for which development?,Helicopter,Television,Computer,Nylon,au,7
663,Perry is a beverage made from the juice of which fruit?,Pear,Peach,Pineapple,Plum,au,7
664,Brad Pitt played which hero of the Trojan War in a 2004 blockbuster?,Achilles,Ajax,Hector,Odysseus,au,7
665,What quantity is measured by a parsec?,Length (or Distance),Area,Mass,Volume,au,7
666,What is the term for Oxford and Cambridge universities when considered together?,Oxbridge,Bridgeford,Camford,Fordbridge,au,7
667,The country of Belize is generally considered part of which continent?,North America,Africa,Asia,South America,au,7
668,What Strait separates New Zealand's North and South islands?,Cook,Flinders,Tasman,Van Diemen,au,7
669,The fleur-de-lis is a heraldic symbol of a lily with how many petals?,Three,Four,Five,Six,au,7
670,Billy Crystal and John Goodman voiced the main characters in which animated hit film?,Monsters Inc,Antz,A Bug's Life,The Lion King,au,7
671,A situation where there is no alternative to what's offered is known as whose choice?,Hobson's,Hanson's,Herbert's,Hunter's,au,7
672,"Eaten as a relish, what kind of dried animal is Bombay duck?",Fish,Amphibian,Bird,Mammal,au,7
673,The pop music of Motown is associated with which US city?,Detroit,Los Angeles,Boston,Chicago,au,7
674,What type of victory is won at such great cost that it's tantamount to defeat?,Pyrrhic,Homeric,Sapphic,Stoic,au,7
675,A US army general of the highest rank would have how many stars?,Five,Three,Four,Six,au,7
676,The flag of Papua New Guinea is chiefly black and which other colour?,Red,White,Yellow,Blue,au,7
677,A hit single off the Red Hot Chili Peppers album 'Blood Sugar Sex Magik' was 'Under the what'?,Bridge,Weather,Influence,Blanket,au,7
678,Bartlett is a variety of which fruit?,Pear,Apple,Plum,Grape,au,7
679,Where in the US state of New Mexico was the first atomic bomb developed?,Los Alamos,Santa Fe,Roswell,Alamogordo,au,7
680,The headquarters of carmaker BMW are in which city?,Munich,Hamburg,Leipzig,Stuttgart,au,7
681,What nationality was the great 17th-century painter Jan Vermeer?,Dutch,Flemish,French,German,au,7
682,"In ancient Egyptian mythology, who was the god of the sun?",Ra,Geb,Osiris,Thoth,au,7
683,Jainism has the most in common with which of these great religions?,Hinduism,Christianity,Islam,Judaism,au,7
684,Which country occupies the largest area of the island of Borneo?,Indonesia,Malaysia,Philippines,Brunei,au,7
685,Ken Lay is the disgraced former CEO of which US corporation?,Enron,Cisco,Exxon,Xerox,au,7
686,What is the 9th sign of the zodiac?,Sagittarius,Aquarius,Capricorn,Scorpio,au,7
687,Which of these is an Australian state?,South Australia,North Australia,East Australia,West Australia,au,8
688,"Which of Queen Elizabeth II's children was married to Diana, Princess of Wales?",Charles,Andrew,Edward,Anne,au,8
689,TV's Maxwell Smart is a spy working for what US intelligence agency?,CONTROL,CIA,KGB,KAOS,au,8
690,Keith Moon was a drummer for which band?,The Who,Deep Purple,Pink Floyd,Led Zeppelin,au,8
691,Which soccer powerhouse won the 2002 World Cup?,Brazil,Argentina,France,Germany,au,8
692,The coolibah is a type of what?,Tree,Bird,Lizard,Stream,au,8
693,What nationality was writer Dylan Thomas?,Welsh,Irish,Scottish,English,au,8
694,Which of these films does not star Mel Gibson?,Entrapment,Payback,Ransom,Signs,au,8
695,What colloquial name is given to a bottle of wine sold without a label?,Cleanskin,Clearskin,Newskin,Freshskin,au,8
696,How many Best Actor Oscars did Marlon Brando win?,Two,None,One,Three,au,8
697,Which composer orchestrated the folk tune 'Danny Boy'?,Percy Grainger,Frederick Delius,Jerome Kern,Benjamin Britten,au,8
698,Selangor is a state of which country?,Malaysia,India,Philippines,Indonesia,au,8
699,Which singer had the hit 70s albums 'Tea for the Tillerman' and Teaser and the Firecat'?,Cat Stevens,Joe Cocker,Rod Stewart,Neil Young,au,8
700,Something having toothlike projections is said to be which of these?,Dentate,Dentary,Denton,Dentine,au,8
701,Apia is the capital of which Pacific nation?,Samoa,Tonga,Fiji,Vanuatu,au,8
702,Designed by Sir Christopher Wren was London's St whose Cathedral?,Paul's,Peter's,John's,Mark's,au,8
703,Christoph Gluck was a great 18th-century German what?,Composer,Artist,Philosopher,Poet,au,8
704,A fillet of which fish is uncooked and pickled in a rollmop?,Herring,Salmon,Sardine,Tuna,au,8
705,Which is an edible mollusc with an ear-shaped shell lined with mother-of-pearl?,Abalone,Barnacle,Clam,Limpet,au,8
706,Which Israeli prime minister was assassinated in 1995?,Rabin,Begin,Peres,Shamir,au,8
707,The Guernsey is a breed of dairy cattle originally from which islands?,Channel,Hebrides,Orkney,Shetland,au,8
708,Melanie Brown was which member of the Spice Girls?,Scary,Baby,Sexy,Sporty,au,8
709,Which of these films was not directed by Australian Peter Weir?,Driving Miss Daisy,Witness,Fearless,The Truman Show,au,8
710,Who became emperor of Japan in 1989?,Akihito,Atikiho,Ahitiko,Akitiho,au,8
711,Creating large amounts of radiation but producing little blast is the US-developed what bomb?,Neutron,Proton,Positron,Neutrino,au,8
712,Which Gilbert and Sullivan operetta is set in Japan?,The Mikado,Iolanthe,Ruddigore,The Sorcerer,au,8
713,What colour is the star on the flag of Vietnam?,Yellow,White,Red,Black,au,8
714,Which of these is not one of The Beach Boys' Wilson brothers?,Mike,Carl,Brian,Dennis,au,8
715,The Inland Sea is part of which country?,Japan,Russia,China,India,au,8
716,Which European capital lies on the Vistula River?,Warsaw,Moscow,Berlin,Prague,au,8
717,What does a milliner make or sell?,Women's hats,Household linen,Bread and cakes,Boating equipment,au,8
718,An ace is a pilot who has shot down at least how many enemy aircraft?,Five,Three,Ten,Twelve,au,8
719,Which of the deadly sins is a collective noun for a group of bears?,Sloth,Gluttony,Pride,Wrath,au,8
720,Which of these poker hands is ranked the highest?,Full house,Flush,Straight,Three of a kind,au,8
721,Desdemona is the wife of which Shakespearean title character?,Othello,Hamlet,King Lear,Macbeth,au,8
722,The Seven Years' War was fought around the middle of which century?,18th,16th,17th,19th,au,8
723,'Master of Puppets' is considered the album masterpiece of which heavy metal band?,Metallica,Black Sabbath,Led Zeppelin,Megadeth,au,8
724,"On a heraldic shield, which side is the sinister side?",Bearer's Left,Lower side,Bearer's Right,Upper side,au,8
725,Which of these rocks is classed as igneous?,Basalt,Limestone,Sandstone,Slate,au,8
726,Which Australian scientist shared a Nobel Prize for his work with penicillin?,Florey,Burnet,Clunies-Ross,Oliphant,au,8
727,Which of these cities was the first to host an Olympic Games?,Paris,Berlin,London,Rome,au,8
728,Which of these Stanley Kubrick films was made first?,Dr Strangelove,A Clockwork Orange,Eyes Wide Shut,The Shining,au,8
729,"Flowing north and west for some 1,000 kilometres, what is the longest river in France?",Loire,Marne,Seine,Somme,au,8
730,Sicily lies closest to which African country?,Tunisia,Algeria,Egypt,Libya,au,8
731,In which part of the body is the sacrum?,Spine,Head,Wrist,Chest,au,8
732,"Starring Will Smith, the film 'I, Robot' is loosely based on a book by which sci-fi author?",Isaac Asimov,Frank Herbert,Philip K Dick,Ray Bradbury,au,8
733,Which of the arts uses the term 'sostenuto'?,Music,Painting,Photography,Poetry,au,8
734,The sun is composed chiefly of which gaseous element?,Hydrogen,Nitrogen,Oxygen,Helium,au,8
735,What is the current name of the USA's Boulder Dam?,Hoover Dam,Roosevelt Dam,Coolidge Dam,Harding Dam,au,8
736,"In computers, SGML stands for 'Standard Generalised what Language'?",Markup,Matrix,Modulated,Multi-user,au,8
737,What is the largest species of penguin?,Emperor,King,Adélie,Humboldt,au,8
738,Maroon and white are the colours of which country's flag?,Latvia,Kazakhstan,Estonia,Azerbaijan,au,8
739,"A popular tourist attraction, the Space Needle is an observation tower in which US city?",Seattle,Memphis,Houston,Boston,au,8
740,The lead character in the Dickens novel 'A Tale of Two Cities' is Sydney who?,Carton,Canton,Cantor,Carter,au,8
741,The founder of which religion achieved enlightenment sitting under a Bo tree?,Buddhism,Hinduism,Islam,Christianity,au,8
742,Which animal is also known as the wildebeest?,Gnu,Warthog,Eland,Aardvark,au,8
743,The Stanley Cup is awarded annually to the North American champion in which sport?,Ice hockey,Polo,Netball,Badminton,au,8
744,Leonardo da Vinci drew plans for his version of which of these?,Helicopter,Watch,Lift,Hovercraft,au,8
745,After what was the bayonet named?,A town,A general,A river,A battle,au,8
746,What colour is the central and widest stripe on Thailand's flag?,Blue,Green,Red,White,au,8
747,"After the Moon, what is usually the most brilliant natural object in the night sky?",Venus,Mars,Polaris,Sirius,au,8
748,What is the modified leaf that encloses the petals and other parts of a flower?,Sepal,Stamen,Stigma,Style,au,8
749,Which great artist painted the landmark 'Les Demoiselles d'Avignon' in 1907?,Picasso,Cezanne,Matisse,Monet,au,8
750,"What are the given names of the creator of Harry Potter, J K Rowling?",Joanne Kathleen,Jacqueline Kate,Jennifer Kim,Julia Kelly,au,8
751,Who fronted the '80s UK alternative rock band The Smiths?,Morrissey,Mike Joyce,Johnny Marr,Andy Rourke,au,8
752,"In the 19th century, Manuel Belgrano fought for the independence of which country?",Argentina,Brazil,Colombia,Chile,au,8
753,A popular piece by Soviet composer Aram Khachaturian is the 'what Dance'?,Sabre,Machete,Rapier,Stiletto,au,8
754,How was US soul singer Otis Redding killed in 1967?,Plane crash,Car crash,House fire,Knife fight,au,8
755,Which country appointed the first ombudsman?,Sweden,Germany,Hungary,Belgium,au,8
756,The Gulf of Riga is an arm of the Baltic Sea between Latvia and which other country?,Estonia,Finland,Lithuania,Poland,au,8
757,Which animal does not make up part of the body of the Greek mythological chimera?,Serpent,Dragon,Goat,Lion,au,8
758,The US F-22 fighter jet is also known by what name?,Raptor,Firefly,Raven,Spectre,au,8
759,Which Australian coin is twelve-sided?,50-cent,20-cent,10-cent,5-cent,au,9
760,The Commonwealth of Australia comprises six states and how many territories?,Two,One,Three,Four,au,9
761,Who became Australia's prime minister in 1996?,John Howard,Bob Hawke,Malcolm Fraser,Paul Keating,au,9
762,Who won his first Wimbledon men's singles title in 2003?,Roger Federer,Lleyton Hewitt,Andy Roddick,Marat Safin,au,9
763,"Which group recorded the album '10, 9, 8, 7, 6, 5, 4, 3, 2, 1'?",Midnight Oil,INXS,Crowded House,Cold Chisel,au,9
764,In what month of 2003 did the US invade Iraq?,March,June,May,April,au,9
765,"In the Shakespeare play 'Hamlet', who is the king of Denmark?",Claudius,Nero,Tiberius,Caligula,au,9
766,Fidel Ramos was a president of which country during the 1990s?,Philippines,Argentina,Mexico,Spain,au,9
767,Who is the daughter of Herodias said to have demanded the head of John the Baptist on a platter?,Salome,Bathsheba,Delilah,Jezebel,au,9
768,"Culloden, the last major battle on British soil, was fought in which century?",18th,16th,17th,19th,au,9
769,Which American novelist wrote the bestseller 'One Flew over the Cuckoo's Nest'?,Ken Kesey,Johanna Kaplan,Jack Kerouac,Stephen King,au,9
770,Marie-Antoinette was the wife and queen of which French king named Louis?,XVI,XIII,XIV,XV,au,9
771,What is the other common English spelling for the Portuguese city of Porto?,Oporto,Aporto,Eporto,Iporto,au,9
772,The ship HMS 'Victory' is famously associated with which Englishman?,Lord Nelson,Charles Darwin,Francis Drake,Walter Raleigh,au,9
773,Which tree is an important native of New Zealand?,Kauri,Jarrah,Karri,Kurrajong,au,9
774,John Edwards was a senator from which state when chosen as John Kerry's 2004 running mate?,North Carolina,West Virginia,North Dakota,South Carolina,au,9
775,Louis Bleriot made the first flight over which body of water?,English Channel,Bosphorus,Str of Gibraltar,Str of Messina,au,9
776,Zog I was king of which country from 1928 to 1939?,Albania,Bulgaria,Yugoslavia,Romania,au,9
777,Slivovitz is a brandy made from which fruit?,Plum,Apple,Cherry,Apricot,au,9
778,The Strait of Malacca separates which Indonesian island from Malaysia?,Sumatra,Java,Flores,Sulawesi,au,9
779,"Prior to its independence, Bangladesh was the province of what Pakistan?",East,West,North,South,au,9
780,Georges Bizet's opera 'Carmen' is set in which country?,Spain,France,Greece,Italy,au,9
781,For what does the A stand in the organisation acronym SEATO?,Asia,Africa,America,Australia,au,9
782,Which Roman emperor preceded Nero?,Claudius,Augustus,Tiberius,Titus,au,9
783,Great English poet Lord Byron died in which country in 1824?,Greece,Albania,Italy,Turkey,au,9
784,In which of the arts was Anton von Webern a prominent 20th-century Austrian?,Music,Architecture,Literature,Painting,au,9
785,The South American country of Guyana has what official language?,English,French,Portuguese,Spanish,au,9
786,The two 'mamas' in the band The Mamas and the Papas were Cass Elliott and who?,Michelle Phillips,Martha Reeves,Mary Wells,Mary Wilson,au,9
787,Which US state extends the southernmost?,Hawaii,California,New Mexico,Florida,au,9
788,Which king of England succeeded Queen Anne?,George I,Charles I,James I,Richard I,au,9
789,In which year did Yuri Gagarin become the first man to travel in space?,1961,1960,1962,1963,au,9
790,"In the Star Wars film series, Amidala is the queen of which world?",Naboo,Alderan,Coruscant,Tatooine,au,9
791,Subtitled 'Some Kind of Monster' is the documentary feature about which band?,Metallica,Korn,Oasis,Limp Bizkit,au,9
792,Who was the purest and noblest knight of Arthurian legend?,Galahad,Bedevere,Lancelot,Gawain,au,9
793,Who wrote the 1901 play 'The Three Sisters'?,Chekhov,Ibsen,Strindberg,Shaw,au,9
794,The Native American Pocahontas died in which century?,17th,16th,18th,19th,au,9
795,Cut off from the rest of Germany between the two world wars was the province of what Prussia?,East,West,South,North,au,9
796,Which of these has the type called a meerschaum?,Tobacco pipe,Moustache,Horse saddle,Hat,au,9
797,The sidewinder is a small species of which type of snake?,Rattlesnake,Boa,Cobra,Python,au,9
798,The Wars of the Roses ended soon after the death in battle of which English king?,Richard III,James I,Harold II,William IV,au,9
799,Which animal is not a type of primate?,Margay,Lemur,Loris,Monkey,au,9
800,What is the SI unit of pressure?,Pascal,Candela,Farad,Tesla,au,9
801,How many Southern states made up the Confederate States of America?,Eleven,Nine,Ten,Twelve,au,9
802,Penang is a state in which Asian country?,Malaysia,Indonesia,Philippines,Thailand,au,9
803,"An agreement signed by the presidents of Bosnia, Croatia, and Serbia in 1995 was called the what Accords?",Dayton,Akron,Bowling Green,Canton,au,9
804,The Beaufort Sea is an arm of which ocean?,Arctic,Atlantic,Indian,Pacific,au,9
805,Harald V became king of which country in 1991?,Norway,Belgium,Luxembourg,Denmark,au,9
806,Pachisi is considered the national game of which country?,India,China,Russia,Indonesia,au,9
807,"Once famous as a destination for eloping couples, the village of Gretna Green is in which country of the UK?",Scotland,England,Wales,Ireland,au,9
808,A tiny circle over the letter A is the symbol for which unit of measurement?,Angstrom,Ampere,Acre,Abcoulomb,au,9
809,The prehistoric monument Stonehenge stands in which English county?,Wiltshire,Hampshire,Hertfordshire,Warwickshire,au,9
810,What is Canada's highest decoration for courage?,Cross of Valour,Cross of Bravery,Red Maple Leaf,Royal Maple Leaf,au,9
811,What is another name sometimes given to Zoroastrianism?,Mazdaism,Christianity,Hinduism,Judaism,au,9
812,"The dark gap between the two main rings of Saturn is named whose division, after its astronomer discoverer?",Cassini's,Galileo's,Herschel's,Kepler's,au,9
813,"Pandora, Pan and Atlas are moons of which planet?",Saturn,Jupiter,Uranus,Neptune,au,9
814,Which strait separates Iceland and Greenland?,Denmark,Norway,Greenland,Iceland,au,9
815,Which Australian animal's name is derived from the Greek for flat-footed'?,Platypus,Echidna,Koala,Wombat,au,9
816,The news agency Reuters was founded in 1851 in which city?,London,Amsterdam,Berlin,Rome,au,9
817,In which Shakespeare play is jealousy called 'the green-eyed monster'?,Othello,Macbeth,King Lear,Hamlet,au,9
818,"Ops, the Roman goddess of plenty, was the wife of which god?",Saturn,Jupiter,Neptune,Uranus,au,9
819,"An indicator of faecal pollution in water, the E in the bacterium E. coli is short for what?",Escherichia,Echolalia,Ecologica,Eschscholzia,au,9
820,Which Central American country does not face the Caribbean Sea?,El Salvador,Belize,Honduras,Nicaragua,au,9
821,Which country pulled its troops out of Iraq in July 2004?,Philippines,Poland,Pakistan,Portugal,au,10
822,What was the first name of US public opinion analyst and statistician Gallup?,George,Jacob,Jack,Gerald,au,10
823,Which of these is an album by INXS?,X,I,N,S,au,10
824,"Actor Peter Lorre, seen in 'Casablanca', was born within the former borders of which country?",Hungary,France,Romania,Spain,au,10
825,Which great 19th-century French painter had the given names Jean-Auguste-Dominique?,Ingres,Delacroix,Monet,Rousseau,au,10
826,Which British playwright penned 1960's 'The Caretaker'?,Harold Pinter,Robert Bolt,Christopher Fry,John Osborne,au,10
